title,isbn10,isbn13,vendor_sell,selling_price,url_sell
"Study Guide and Full Solutions Manual for Fundamentals of General, Organic, and Biological Chemistry",032177616X,9780321776167,sellbackyourbook.com,8.41,https://www.sellbackyourbook.com/allbookstores.php?isbn=032177616X&afid=183
"Study Guide and Full Solutions Manual for Fundamentals of General, Organic, and Biological Chemistry",032177616X,9780321776167,MyBookCart,3.06,https://www.mybookcart.com/cart/affiliate/23423/9780321776167
"Study Guide and Full Solutions Manual for Fundamentals of General, Organic, and Biological Chemistry",032177616X,9780321776167,Amazon,4.35,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=032177616X&tag=buybacknew-b-20
Digital Signal Processing: A Practical Guide for Engineers and Scientists,075067444X,9780750674447,Textbookrecycling.com,6.28,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=075067444X
Digital Signal Processing: A Practical Guide for Engineers and Scientists,075067444X,9780750674447,AbeBooks,7.25,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9780750674447|0|3&sub=bookfinder
Digital Signal Processing: A Practical Guide for Engineers and Scientists,075067444X,9780750674447,sellbackyourbook.com,1.96,https://www.sellbackyourbook.com/allbookstores.php?isbn=075067444X&afid=183
Digital Signal Processing: A Practical Guide for Engineers and Scientists,075067444X,9780750674447,Textbookmaniac,16.75,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=075067444X
Digital Signal Processing: A Practical Guide for Engineers and Scientists,075067444X,9780750674447,Booksrun,7.09,https://booksrun.com/api/cart/sell/add/075067444X:Good?afk=360
Digital Signal Processing: A Practical Guide for Engineers and Scientists,075067444X,9780750674447,ecampus.com,3.0,http://www.kqzyfj.com/click-284433-12088826?item=9780750674447
Digital Signal Processing: A Practical Guide for Engineers and Scientists,075067444X,9780750674447,ValoreBooks,2.09,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780750674447
Operational Amplifiers and Linear Integrated Circuits (6th Edition),0130149918,9780130149916,Textbookrecycling.com,17.04,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=0130149918
Operational Amplifiers and Linear Integrated Circuits (6th Edition),0130149918,9780130149916,Bookbyte,19.25,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9780130149916
Operational Amplifiers and Linear Integrated Circuits (6th Edition),0130149918,9780130149916,Chegg.com,13.08,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9780130149916
Operational Amplifiers and Linear Integrated Circuits (6th Edition),0130149918,9780130149916,sellbackyourbook.com,6.42,https://www.sellbackyourbook.com/allbookstores.php?isbn=0130149918&afid=183
Operational Amplifiers and Linear Integrated Circuits (6th Edition),0130149918,9780130149916,Textbookmaniac,19.26,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=0130149918
Operational Amplifiers and Linear Integrated Circuits (6th Edition),0130149918,9780130149916,Amazon,19.25,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=0130149918&tag=buybacknew-b-20
Operational Amplifiers and Linear Integrated Circuits (6th Edition),0130149918,9780130149916,Booksrun,15.67,https://booksrun.com/api/cart/sell/add/0130149918:Good?afk=360
Operational Amplifiers and Linear Integrated Circuits (6th Edition),0130149918,9780130149916,ecampus.com,15.0,http://www.kqzyfj.com/click-284433-12088826?item=9780130149916
Operational Amplifiers and Linear Integrated Circuits (6th Edition),0130149918,9780130149916,ValoreBooks,7.61,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780130149916
Catering Management,1118091493,9781118091494,Textbookrecycling.com,10.22,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=1118091493
Catering Management,1118091493,9781118091494,TextbooksRush,14.68,http://www.textbookrush.com/sell/buyback-cart.aspx?a=add&st=-1&kbid=1119&i=9781118091494|3|0
Catering Management,1118091493,9781118091494,Bookbyte,15.75,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9781118091494
Catering Management,1118091493,9781118091494,AbeBooks,14.69,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9781118091494|0|3&sub=bookfinder
Catering Management,1118091493,9781118091494,Chegg.com,13.15,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9781118091494
Catering Management,1118091493,9781118091494,MyBookCart,4.03,https://www.mybookcart.com/cart/affiliate/23423/9781118091494
Catering Management,1118091493,9781118091494,Textbookmaniac,15.98,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=1118091493
Catering Management,1118091493,9781118091494,Amazon,16.39,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=1118091493&tag=buybacknew-b-20
Catering Management,1118091493,9781118091494,Booksrun,6.25,https://booksrun.com/api/cart/sell/add/1118091493:Good?afk=360
Catering Management,1118091493,9781118091494,ValoreBooks,15.97,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9781118091494
Catering Management,1118091493,9781118091494,ecampus.com,9.0,http://www.kqzyfj.com/click-284433-12088826?item=9781118091494
Modern Residential Wiring,1605255823,9781605255828,sellbackyourbook.com,0.72,https://www.sellbackyourbook.com/allbookstores.php?isbn=1605255823&afid=183
Modern Residential Wiring,1605255823,9781605255828,Amazon,3.78,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=1605255823&tag=buybacknew-b-20
Modern Residential Wiring,1605255823,9781605255828,ValoreBooks,1.7,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9781605255828
PIC Projects and Applications using C: A Project-based Approach,0080971512,9780080971513,sellbackyourbook.com,0.65,https://www.sellbackyourbook.com/allbookstores.php?isbn=0080971512&afid=183
The History of Gay People in Alcoholics Anonymous: From the Beginning (Haworth Series in Family and Consumer Issues in Health),078903039X,9780789030399,sellbackyourbook.com,1.64,https://www.sellbackyourbook.com/allbookstores.php?isbn=078903039X&afid=183
The History of Gay People in Alcoholics Anonymous: From the Beginning (Haworth Series in Family and Consumer Issues in Health),078903039X,9780789030399,Amazon,6.29,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=078903039X&tag=buybacknew-b-20
The History of Gay People in Alcoholics Anonymous: From the Beginning (Haworth Series in Family and Consumer Issues in Health),078903039X,9780789030399,Booksrun,3.0,https://booksrun.com/api/cart/sell/add/078903039X:Good?afk=360
Classic Readers Theatre for Young Adults,1563088819,9781563088810,sellbackyourbook.com,0.22,https://www.sellbackyourbook.com/allbookstores.php?isbn=1563088819&afid=183
A Gentle Guide to Research Methods,0335219276,9780335219278,sellbackyourbook.com,0.85,https://www.sellbackyourbook.com/allbookstores.php?isbn=0335219276&afid=183
Desire/Love,0615686877,9780615686875,AbeBooks,1.25,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9780615686875|0|3&sub=bookfinder
Desire/Love,0615686877,9780615686875,sellbackyourbook.com,0.37,https://www.sellbackyourbook.com/allbookstores.php?isbn=0615686877&afid=183
Desire/Love,0615686877,9780615686875,ecampus.com,1.0,http://www.kqzyfj.com/click-284433-12088826?item=9780615686875
"Student Workbook for Mayfield's Theory Essentials, 2nd",1133308201,9781133308201,Textbookrecycling.com,5.49,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=1133308201
"Student Workbook for Mayfield's Theory Essentials, 2nd",1133308201,9781133308201,AbeBooks,7.25,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9781133308201|0|3&sub=bookfinder
"Student Workbook for Mayfield's Theory Essentials, 2nd",1133308201,9781133308201,Chegg.com,3.65,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9781133308201
"Student Workbook for Mayfield's Theory Essentials, 2nd",1133308201,9781133308201,sellbackyourbook.com,2.63,https://www.sellbackyourbook.com/allbookstores.php?isbn=1133308201&afid=183
"Student Workbook for Mayfield's Theory Essentials, 2nd",1133308201,9781133308201,Booksrun,7.47,https://booksrun.com/api/cart/sell/add/1133308201:Good?afk=360
"Student Workbook for Mayfield's Theory Essentials, 2nd",1133308201,9781133308201,ecampus.com,7.0,http://www.kqzyfj.com/click-284433-12088826?item=9781133308201
"Student Workbook for Mayfield's Theory Essentials, 2nd",1133308201,9781133308201,ValoreBooks,1.09,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9781133308201
Qualitative Research: Studying How Things Work,1606235451,9781606235454,Textbookrecycling.com,0.73,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=1606235451
Qualitative Research: Studying How Things Work,1606235451,9781606235454,AbeBooks,5.3,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9781606235454|0|3&sub=bookfinder
Qualitative Research: Studying How Things Work,1606235451,9781606235454,Chegg.com,1.23,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9781606235454
Qualitative Research: Studying How Things Work,1606235451,9781606235454,sellbackyourbook.com,3.87,https://www.sellbackyourbook.com/allbookstores.php?isbn=1606235451&afid=183
Qualitative Research: Studying How Things Work,1606235451,9781606235454,Amazon,2.51,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=1606235451&tag=buybacknew-b-20
Qualitative Research: Studying How Things Work,1606235451,9781606235454,Booksrun,1.34,https://booksrun.com/api/cart/sell/add/1606235451:Good?afk=360
Music Express: Age 10-11 (Book + 3CDs + DVD-ROM): Complete Music Scheme for Primary Class Teachers,1472900227,9781472900227,sellbackyourbook.com,0.96,https://www.sellbackyourbook.com/allbookstores.php?isbn=1472900227&afid=183
Weird Realism: Lovecraft and Philosophy,1780992521,9781780992525,AbeBooks,2.25,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9781780992525|0|3&sub=bookfinder
Weird Realism: Lovecraft and Philosophy,1780992521,9781780992525,sellbackyourbook.com,0.74,https://www.sellbackyourbook.com/allbookstores.php?isbn=1780992521&afid=183
