title,isbn10,isbn13,vendor_buy,description,purchase_cost,processing_cost,net_buying_cost,url_buy
Business Intelligence Roadmap: The Complete Project Lifecycle for Decision-Support Applications,201784203,9780201784206,Amazon.com,"Softcover, ISBN 9780201784206Publisher: Addison-Wesley Professional, 2003576 pages. Used - Good, Usually ships in 24 hours, Used book in good condition. CD Media included. Pages are unmarked but some pages have been torn at the top.. Shipped from Amazon. FREE Two-Day Shipping with Amazon Prime. Not a Prime member? Get a 30-day Amazon Prime free...",17.99,2,19.99,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=mgv4pjLMpxt8XP0xJzzqS9ol4so_1497963026_1:1:1&bs=amazon_com_prime&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0201784203%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=IoZSnQgJPe4JJrtMYfUB
"Project Management: A Systems Approach to Planning, Scheduling, and Controlling",1119165350,9781119165354,Amazon.com,"Hardcover, ISBN 9781119165354Publisher: Wiley, 2017848 pages. Used - Like New, Usually ships in 1-2 business days, 12th edition. Text is unmarked/minimal signs of use. Covers have very minor shelf wear.",52.19,2,54.19,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=DT1q5Hdetp78rJCvScMwXuVC4hc_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F1119165350%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=tnP3UgLXgqvSFlnhCjQW
"Mergers, Acquisitions, and Other Restructuring Activities: An Integrated Approach to Process, Tools, Cases, and Solutions",128016094,9780128016091,Amazon.com,"Hardcover, ISBN 9780128016091Publisher: Academic Press, 2017770 pages. Used - Good, Usually ships in 1-2 business days, Unused book w/ minor cosmetic damage. Click on read more.>>> This is a bookstore return that often has never been read or used, but has small cosmetic damage, like a cover crease or ding, damaged dust jacket or bent pages. It does NOT have writing in pages, and we guarantee access codes and supplements with our used items where applicable.100% Satisfaction Guaranteed. FAST Processing; friendly, tip-top service. :- ) Please compare...",75.21,2,77.21,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=9RSBDk72ZZ.9cp8rcWnCUv4GgbA_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0128016094%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=MN3qvw8zw_BRgqAAYMyP
Maras: Gang Violence and Security in Central America,292729286,9780292729285,Amazon.com,"Softcover, ISBN 9780292729285Publisher: University of Texas Press, 2011319 pages. Used - Acceptable, Usually ships in 1-2 business days, No guarantee on products that contain supplements and some products may include highlighting and writing.",13.08,2,15.08,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=VwJmFLxftv98I3KBPskZOBzp6Ik_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0292729286%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=neC05kOxgvrCoRrLsB5.
Prisoners of Conscience: Moral Vernaculars of Political Agency (Studies in Rhetoric / Communication),1611174384,9781611174380,Amazon.com,"Softcover, ISBN 9781611174380Publisher: University of South Carolina Press, 2014304 pages. Used - Good, Usually ships in 1-2 business days, May have notes, highlighting, wear and tear. Supplements not guaranteed. Please contact us if you have any questions.",15.09,2,17.09,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=pAq5yCALE4fCvqm1QPiVvDhHQVQ_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F1611174384%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=IhpomGU4sThRZhBifJsh
Gangs: An Individual and Group Perspective,131724045,9780131724044,N/A,N/A,N/A,N/A,N/A,N/A
Facilities Planning,470444045,9780470444047,Amazon.com,"Hardcover, ISBN 9780470444047Publisher: Wiley, 2010864 pages. Used - Good, Usually ships in 24 hours, Item may show signs of shelf wear. Pages may include limited notes and highlighting. May not include supplemental or companion materials if applicable. Access codes may or may not work. Connecting readers since 1972. Customer service is our top priority.",53.02,2,55.02,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=CKGnEpSy66NzInYiFsGgIAc.bTE_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0470444045%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=106mTjRcwdM6JdWUGQgd
Mergers & Acquisitions: The Essentials (Essentials Series) (Essentials (Wolters Kluwer)),735583692,9780735583696,Amazon.com,"Softcover, ISBN 9780735583696Publisher: Aspen Publishers, 2009336 pages. Used - Good, Usually ships in 1-2 business days, Connecting readers with great books since 1972. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, may not include cdrom or access codes. Customer service is our top priority!",8.99,2,10.99,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=0ie1d,0l82akx61MB3dWWOIfQ.M_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0735583692%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=XNQCZ7htAzN0jiPe3K7X"
"The Wiley Guide to Project, Program, and Portfolio Management",470226854,9780470226858,Amazon.com,"Softcover, ISBN 9780470226858Publisher: Wiley, 2007364 pages. Used - Good, Usually ships in 1-2 business days, This item shows some wear from consistent use, but remains in good condition and works great. It may be marked, have identifying markings on it, or show other signs of previous use.",8.29,2,10.29,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=W9q.oZg8Y4v5QgNgcsN2wEkPN60_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0470226854%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=HEGUSLe8KidoXaF9O2nK
"Estimating Software-Intensive Systems: Projects, Products, and Processes",201703122,9780201703122,Amazon.com,"Hardcover, ISBN 9780201703122Publisher: Addison-Wesley Professional, 2005944 pages. Used - Acceptable, Usually ships in 1-2 business days, Acceptable -CD included The covers are intact but may have creases. The dust jacket, if present, may be marked, and have considerable heavy wear. Pages may have a number of folds/creases and may include considerable notes and highlighting but text is legible. Thank you for shopping with Goodwill of Dayton Ohio. All items we sell are in used condition, if you have any questions please feel free to email us.",28.82,2,30.82,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=.ts7Q,uwJWpDsEdJZDchKsJ33DA_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0201703122%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=gN_YZoX8MXkb_H9kyj_8"
