category,url
Books:Literature & Fiction:Action & Adventure:Sea Adventures,https://www.amazon.com/s/ref=sr_nr_n_5?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A17%2Cn%3A720360%2Cn%3A10159273011&bbn=720360&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=720360
Books:Sports & Outdoors:Hunting & Fishing:Hunting,https://www.amazon.com/s/ref=sr_nr_n_1?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16479%2Cn%3A16528&bbn=16479&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=16479
Books:Parenting & Relationships:Humor,https://www.amazon.com/s/ref=sr_nr_n_12?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A20%2Cn%3A761128&bbn=20&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=20
Books:Sports & Outdoors:Hunting & Fishing:Fishing,https://www.amazon.com/s/ref=sr_nr_n_2?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16479%2Cn%3A16480&bbn=16479&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=16479
Books:Education & Teaching:Test Preparation:College & High School:SAT Subject Tests,https://www.amazon.com/s/ref=sr_nr_n_8?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A8975347011%2Cn%3A5267710011%2Cn%3A11668%2Cn%3A7290952011&bbn=11668&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=11668
Books:Sports & Outdoors:Outdoor Recreation:Cycling,https://www.amazon.com/s/ref=sr_nr_n_10?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A290108%2Cn%3A16544&bbn=290108&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=290108
Books:Teen & Young Adult:Education & Reference:Social Science:Politics & Government,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A28%2Cn%3A3344092011%2Cn%3A3344093011%2Cn%3A8946316011&bbn=3344093011&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=3344093011
Books:Education & Teaching:Test Preparation:College & High School:Regents,https://www.amazon.com/s/ref=sr_nr_n_7?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A8975347011%2Cn%3A5267710011%2Cn%3A11668%2Cn%3A11704&bbn=11668&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=11668
Books:Education & Teaching:Test Preparation:College & High School:SAT,https://www.amazon.com/s/ref=sr_nr_n_6?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A8975347011%2Cn%3A5267710011%2Cn%3A11668%2Cn%3A11682&bbn=11668&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=11668
"Books:Mystery, Thriller & Suspense:Thrillers & Suspense:Medical",https://www.amazon.com/s/ref=sr_nr_n_7?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A18%2Cn%3A10484%2Cn%3A10489&bbn=10484&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=10484
